name,description
Albania,"In Albania, nearly 20% of female students drop out before reaching secondary school, compounding female unemployment. There are 92 Volunteers in Albania working with their communities on projects in community economic development, English education, and health."
Benin,"Only 33.5% of adolescent girls in Benin complete lower secondary school, limiting their economic viability. There are 93 Volunteers in Benin working with their communities on projects in agriculture, community economic development, education, and health."
Burkina Faso,"In Burkina Faso, 32% of adolescent females enter early marriages and 28% of females give birth before the age of 18, increasing their risk of reproductive health issues. There are 105 Volunteers in Burkina Faso working with their communities on projects in community economic development, education, and health."
Cambodia,"In Cambodia, only 54% of female adolescents complete their last year of primary school, prohibiting entrance to secondary school. There are 107 Volunteers in Cambodia working with their communities on projects in education and health."
Ethiopia,"In Ethiopia, 19% of adolescent girls are married and 22% give birth to their first baby before age 18. Early marriage and motherhood prevents girls from staying in school. There are 235 Volunteers in Ethiopia working with their communities on projects in education, the environment, and health."
Georgia,"In Georgia, only 15.8% of high-level governing positions are occupied by women. Empowerment and encouragement of female voices will lead to greater emphasis on women's issues. There are 111 Volunteers in Georgia working with their communities on projects in community economic development and English education."
Ghana,"In Ghana, only 11.4% of women have stable, wage/salaried employment. Greater gender equality will help to decrease the disparity between men and women in employability. There are 133 Volunteers in Ghana working with their communities on projects in agriculture, education, and health."
Moldova,"In Moldova, only 41.7% of females aged 15-49 have access to modern family planning methods, reducing their reproductive health options. There are 116 Volunteers in Moldova working with their communities on projects in community economic development, English education, and health."
Mongolia,"In Mongolia, 55% of young women face vulnerable employment, often working unpaid, subsistence jobs. Greater opportunity can be cultivated through education and economic empowerment. There are 141 Volunteers in Mongolia working with their communities on projects in English education, health, and youth development."
Mozambique,"In Mozambique, only 37% of adolescent females have comprehensive knowledge of HIV prevention. Lack of information puts Mozambican youth at risk in a country with an HIV rate of 12%. There are 218 Volunteers in Mozambique working with their communities on projects in education and health."
Thailand,"In Thailand, just 4.2% of women are in managerial-level positions. Greater empowerment will lead to higher levels of female leadership in the public and private sectors. There are 103 Volunteers in Thailand working with their communities on projects in education and youth development."
Togo,"Only 69% of Togolese adolescent females complete primary school. Lack of attendance is often due to insufficient funding for tuition, school supplies, and uniforms. There are 84 Volunteers in Togo working with their communities on projects in agriculture, education, and health."
Uganda,"In Uganda, 20% of females enter early marriage and 33% of adolescent girls give birth by age 18. Reduction of barriers to education - whether social, structural, or cultural – will aid in greater female student retention. There are 166 Volunteers in Uganda working with their communities on projects in agriculture, English education, and health, including Volunteers in the Global Health Service Partnership program."
